question,answer
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_DEN04LA144],Aviat
What could have contributed to the cause of the accident [AccidentNumber_SEA91LA029],OTHER
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_FTW02LA170],Normal
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_ATL02TA030],Not installed
What is the engine type of the registered aircraft involved in [AccidentNumber_MIA01FA206],2TurboProp
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI05CA085],___Unknown___ELT
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_NYC04CA150],Class 3
What is the aircraft model of the registered aircraft involved in [AccidentNumber_SEA04FA032],182G
What is the engine model of the registered aircraft involved in [AccidentNumber_DEN05LA055],O-320-H2AD
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_FTW04FA029],Normal
What could have contributed to the cause of the accident [AccidentNumber_SEA93FA071],OTHER
What is the engine model of the registered aircraft involved in [AccidentNumber_NYC02LA002],R-985
Who is the registered owner of the registered aircraft involved in [AccidentNumber_FTW01LA067],"Walker Aviation, Inc."
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_LAX04CA175],___Unknown___AirframeTotalTime
What could have contributed to the cause of the accident [AccidentNumber_CHI05LA086],OTHER|OTHERPERSON|OTHER
What could have contributed to the cause of the accident [AccidentNumber_FTW96LA158],OTHER
When was the last inspection of the registered aircraft involved in [AccidentNumber_MIA03LA010],Annual
What is the aircraft model of the registered aircraft involved in [AccidentNumber_CHI02LA057],11AC
What is the engine model of the registered aircraft involved in [AccidentNumber_NYC03LA145],IO-360-A
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_CHI01LA061],160 Hours at time of accident
What is the aircraft category of the registered aircraft involved in [AccidentNumber_FTW04LA202B],Airplane
What could have contributed to the cause of the accident [AccidentNumber_CEN13CA573],INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|STUDENT_PILOT|FLIGHTCREW
What is the serial number of the registered aircraft involved in [AccidentNumber_LAX05LA002],FS-062
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_CHI01LA078],Private
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI03FA239],Not installed
What is the engine type of the registered aircraft involved in [AccidentNumber_ATL04CA172],1Reciprocating
What is the landing gear type of the registered aircraft involved in [AccidentNumber_IAD01LA035],Retractable-Tricycle
What is the engine model of the registered aircraft involved in [AccidentNumber_DFW05LA026],O-540-A1D5
What could have contributed to the cause of the accident [AccidentNumber_DEN90FA085],PASSENGER|COPILOT/SECOND_PILOT|PILOT_IN_COMMAND
When was the last inspection of the registered aircraft involved in [AccidentNumber_LAX02LA076],Annual
What could have contributed to the cause of the accident [AccidentNumber_DEN04FA027A],OTHER
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_DCA05MA031],Bombardier
When was the last inspection of the registered aircraft involved in [AccidentNumber_SEA02FA036],Annual
What is the operator of the registered aircraft involved in [AccidentNumber_FTW02LA110],Johnny Thornley
What is the engine type of the registered aircraft involved in [AccidentNumber_SEA02FA023],2Reciprocating
What is the operator of the registered aircraft involved in [AccidentNumber_ATL05TA055],"State of Tennessee, Division"
What is the engine type of the registered aircraft involved in [AccidentNumber_NYC05FA026],2TurboFan
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI03FA238B],"Installed, not activated"
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_FTW04FA054],Class 2 Valid Medical--w/ waivers/lim.
What is the aircraft model of the registered aircraft involved in [AccidentNumber_CHI04CA219],LA4-200
What is the aircraft category of the registered aircraft involved in [AccidentNumber_NYC04CA150],Airplane
What could have contributed to the cause of the accident [AccidentNumber_SEA01LA012],OTHERPERSON|OTHER
What is the aircraft category of the registered aircraft involved in [AccidentNumber_LAX04CA222],Airplane
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_DEN05LA055],FlightInstructor;Commercial
What could have contributed to the cause of the accident [AccidentNumber_CHI97LA049],OTHER
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_FTW02LA110],Subaru
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_MIA03LA176],"Installed, not activated"
What is the landing gear type of the registered aircraft involved in [AccidentNumber_SEA02LA010],Tailwheel
What is the engine model of the registered aircraft involved in [AccidentNumber_NYC04CA019],IO-346
What is the engine model of the registered aircraft involved in [AccidentNumber_ATL03LA050],O-235-L2C
When was the last inspection of the registered aircraft involved in [AccidentNumber_NYC05CA079],___Unknown___TypeOfLastInspection
What could have contributed to the cause of the accident [AccidentNumber_ERA16LA055],STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_ATL99LA037],OTHERPERSON|OTHER
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_ATL04CA108],Commercial
Who is the registered owner of the registered aircraft involved in [AccidentNumber_ATL03FA052],Oscar Nathan Harris II
What is the aircraft model of the registered aircraft involved in [AccidentNumber_ATL01LA063A],502B
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_LAX03LA018],Private
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_LAX04LA254],Turbomeca
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_MIA02FA162],TextronLycoming
What is the operator of the registered aircraft involved in [AccidentNumber_MIA04CA055],David J. Swartz
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_NYC02LA128],Lycoming
What could have contributed to the cause of the accident [AccidentNumber_FTW83LA214],OTHER|DUAL_STUDENT|PILOT_IN_COMMAND
What is the serial number of the registered aircraft involved in [AccidentNumber_DEN04FA027A],TC-323
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI02TA149],"Installed, not activated"
What could have contributed to the cause of the accident [AccidentNumber_NYC07CA054],OTHER
When was the last inspection of the registered aircraft involved in [AccidentNumber_FTW03LA200],Annual
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_DEN02LA013],FlightInstructor;Commercial
What could have contributed to the cause of the accident [AccidentNumber_FTW02LA137],OTHER|PILOT_IN_COMMAND
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_CHI04LA144],5778 Hours
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_ATL05CA068],5494 Hours as of last inspection
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_FTW02FA222],Lycoming
What could have contributed to the cause of the accident [AccidentNumber_CEN10CA366],NotSpecified|Attain/maintainNotPossible|Notattained/maintained|CapabilityExceeded|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|STUDENT_PILOT|FLIGHTCREW
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_LAX05LA060],FlightInstructor;Commercial
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_ANC01LA079],Single-engineLand;Single-engineSea
What could have contributed to the cause of the accident [AccidentNumber_FTW01LA073],OTHER
When was the last inspection of the registered aircraft involved in [AccidentNumber_SEA04CA151],Annual
What is the engine model of the registered aircraft involved in [AccidentNumber_ATL04LA114],TIO-540-AE2A
What is the engine type of the registered aircraft involved in [AccidentNumber_MIA05CA065],1Reciprocating
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_ATL03LA086],Private
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_FTW02LA001],"Installed, not activated"
What could have contributed to the cause of the accident [AccidentNumber_CEN09LA403],Fatigue/wear/corrosion|Failure
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_SEA03LA032],3126 Hours at time of accident
What is the serial number of the registered aircraft involved in [AccidentNumber_IAD05LA022],414-0373
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_MIA03LA139],Airplane Single-engine
Who is the registered owner of the registered aircraft involved in [AccidentNumber_NYC02LA070],David Marvin
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_MIA01LA207],Airplane Multi-engine; Airplane Single-engine; Instrument Airplane
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_FTW03FA071],Normal
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_NYC04LA042],24889 Hours at time of accident
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_LAX02LA039],Bell
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_ATL04LA074],AeroEngines
What is the aircraft model of the registered aircraft involved in [AccidentNumber_SEA03LA035],PA-28-140
Who is the registered owner of the registered aircraft involved in [AccidentNumber_LAX05LA155],"Monarch Enterprises, Inc."
What could have contributed to the cause of the accident [AccidentNumber_FTW97FA208B],OTHERGOVTORGANIZATION
What is the engine type of the registered aircraft involved in [AccidentNumber_IAD05LA029],1Reciprocating
What could have contributed to the cause of the accident [AccidentNumber_CEN11CA637],Failure|NotSpecified|Damaged/degraded|Malfunction|Incorrectservice/maintenance|Notserviced/maintained
What is the engine type of the registered aircraft involved in [AccidentNumber_NYC02LA179],1Reciprocating
What is the engine type of the registered aircraft involved in [AccidentNumber_ATL02LA149],1Reciprocating
What could have contributed to the cause of the accident [AccidentNumber_GAA16CA215],NotSpecified|Attain/maintainNotPossible|Notattained/maintained|CapabilityExceeded|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|Response/compensation|EffectOnOperation|EffectOnEquipment|NotSpecified|ContributedToOutcome|AbilityTorespond/compensate
What is the landing gear type of the registered aircraft involved in [AccidentNumber_CHI02LA226],Tailwheel
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_ATL03LA039],Robinson
What could have contributed to the cause of the accident [AccidentNumber_ANC92FA002],OTHER
When was the last inspection of the registered aircraft involved in [AccidentNumber_CHI01LA303],100 Hour
What is the aircraft category of the registered aircraft involved in [AccidentNumber_IAD04CA009],Airplane
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_FTW04FA054],AirlineTransport;FlightInstructor;Commercial
What is the landing gear type of the registered aircraft involved in [AccidentNumber_FTW01FA111],Retractable-Tricycle
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_ATL03LA039],Not installed
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_CHI03LA240],4915.7 Hours at time of accident
What could have contributed to the cause of the accident [AccidentNumber_ATL85LA075],UNKNOWN|PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_MKC85LA053],CHECK_PILOT|OTHERPERSON|PILOT_IN_COMMAND|UNQUALIFIEDPERSON|DUAL_STUDENT|PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT
What is the landing gear type of the registered aircraft involved in [AccidentNumber_DEN05LA019],Retractable-Tricycle
What could have contributed to the cause of the accident [AccidentNumber_BFO91DOA01],UNKNOWN|PILOT_IN_COMMAND
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_ANC03LA010],___Unknown___AirframeTotalTime
What is the engine type of the registered aircraft involved in [AccidentNumber_LAX05FA193],1Reciprocating
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_ANC01LA066],Private
What is the engine model of the registered aircraft involved in [AccidentNumber_ATL02LA029],JT8D-15QM
What is the operator of the registered aircraft involved in [AccidentNumber_ATL01LA029],BRENDEN J. O'RIORDAN
What could have contributed to the cause of the accident [AccidentNumber_CHI91LA104],OTHER|OTHER
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_NYC04CA022],Class 3 Valid Medical--w/ waivers/lim.
What is the operator of the registered aircraft involved in [AccidentNumber_ANC03LA048],Kyle Forsgren
When was the last inspection of the registered aircraft involved in [AccidentNumber_DFW05CA144],___Unknown___TypeOfLastInspection
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_FTW03LA143],Lycoming
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_DEN01LA060],Single-engineLand
What is the serial number of the registered aircraft involved in [AccidentNumber_CHI02LA115],551-0002
What is the serial number of the registered aircraft involved in [AccidentNumber_ATL04LA032],S-33
What could have contributed to the cause of the accident [AccidentNumber_CHI97LA275],UNKNOWN|PILOT_IN_COMMAND
What is the engine model of the registered aircraft involved in [AccidentNumber_LAX03LA080],IO-550-B4
What could have contributed to the cause of the accident [AccidentNumber_MIA97LA078],UNKNOWN|PILOT_IN_COMMAND
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_ATL02FA058],Normal
What is the aircraft model of the registered aircraft involved in [AccidentNumber_FTW04LA087],PA-38-112
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_ATL03LA086],Class 2 Valid Medical--w/ waivers/lim.
What is the operator of the registered aircraft involved in [AccidentNumber_SEA04LA093],Charles R. Miller
What is the aircraft model of the registered aircraft involved in [AccidentNumber_MIA03LA138],M-18A
What is the operator of the registered aircraft involved in [AccidentNumber_FTW02LA228],"Helitrans Company, Inc."
What is the aircraft model of the registered aircraft involved in [AccidentNumber_FTW04LA090],BE-200
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_IAD05LA009],Continental
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_ATL02TA030],6910 Hours at time of accident
What is the aircraft category of the registered aircraft involved in [AccidentNumber_LAX01LA163],Airplane
What could have contributed to the cause of the accident [AccidentNumber_CEN12CA406],Notused/operated|PILOT_IN_COMMAND|STUDENT_PILOT|COMPANY_MAINTENANCE_PERSONNEL
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_ANC04LA060],Continental
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_NYC05FA026],Class 1 With Waivers/Limitations
What is the operating certificate held by the registered aircraft involved in [AccidentNumber_DFW05CA177],Page 4 of 5DFW05CA177
What is the landing gear type of the registered aircraft involved in [AccidentNumber_ANC02LA088],Tailwheel
What is the serial number of the registered aircraft involved in [AccidentNumber_ATL04LA074],28-7916031
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_SEA04LA062],Not installed
What could have contributed to the cause of the accident [AccidentNumber_NYC90FA063],PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_CEN14FA035],InadequateInspection|FluidType|Notserviced/maintained|FluidManagement|FluidLevel|FluidCondition|NotSpecified|NotInspected|PILOT_IN_COMMAND
What is the engine model of the registered aircraft involved in [AccidentNumber_CHI01LA263],O-540
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_MIA03CA103],Normal
What could have contributed to the cause of the accident [AccidentNumber_ERA09LA436],PILOT_IN_COMMAND|STUDENT_PILOT
What is the aircraft category of the registered aircraft involved in [AccidentNumber_NYC02LA024],Airplane
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_DFW05LA115],Class 1 With Waivers/Limitations
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_DFW05LA027],Class 3 Valid Medical--w/ waivers/lim.
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI05CA209],Not installed
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_DEN04LA020],Class 1 Valid Medical--no waivers/lim.
What could have contributed to the cause of the accident [AccidentNumber_FTW94LA042],OTHER|UNKNOWN|PILOT_IN_COMMAND
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_CHI04FA133],Cessna
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_DEN01LA119],Normal
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_NYC04LA151],"Installed, not activated"
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_CHI03LA240],Multi-engineLand;Single-engineLand
What could have contributed to the cause of the accident [AccidentNumber_ATL93MA055],MANUFACTURER|KITMANUFACTURER|PILOT_IN_COMMAND|PRODUCTION/DESIGNPERSONNEL|PILOT_IN_COMMAND|FLIGHTINSTRUCTORONGROUND|COMPANY/OPERATOR_MANAGEMENT
When was the last inspection of the registered aircraft involved in [AccidentNumber_FTW04LA031],___Unknown___TypeOfLastInspection
What is the aircraft model of the registered aircraft involved in [AccidentNumber_ATL04LA032],8F
Who is the registered owner of the registered aircraft involved in [AccidentNumber_LAX03TA043],Clifford J. Heaverne
Who is the registered owner of the registered aircraft involved in [AccidentNumber_ATL02LA148],"CO-OWNERS  Northcutt, Bernice & Hammel, Jeffrey"
What could have contributed to the cause of the accident [AccidentNumber_WPR11LA423],Failure
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_MIA03LA090],Private
What is the engine model of the registered aircraft involved in [AccidentNumber_IAD05LA029],O-360-A4M
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_LAX02FA038],"Installed, not activated"
What could have contributed to the cause of the accident [AccidentNumber_FTW00LA162],OTHER
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_CHI04LA124],Airplane Single-engine
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_ANC01LA053],Piper
What is the engine type of the registered aircraft involved in [AccidentNumber_ATL01LA063B],1Reciprocating
Who is the registered owner of the registered aircraft involved in [AccidentNumber_FTW01LA073],Knut G. Mjolhus
What could have contributed to the cause of the accident [AccidentNumber_ANC01LA001],OTHER
What could have contributed to the cause of the accident [AccidentNumber_ATL91FA074],CHECK_PILOT|OTHERPERSON|PILOT_IN_COMMAND
What is the serial number of the registered aircraft involved in [AccidentNumber_LAX02LA037],542-79
When was the last inspection of the registered aircraft involved in [AccidentNumber_DEN01LA047],Annual
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_DEN01LA061],7297 Hours as of last inspection
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_CHI03LA063],Continental
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_NYC03FA001],Continental
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_LAX02LA245],Continental
What is the engine type of the registered aircraft involved in [AccidentNumber_IAD01LA035],1Reciprocating
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_FTW02LA194],Class 2 Valid Medical--w/ waivers/lim.
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_NYC03FA001],Single-engineLand
What is the landing gear type of the registered aircraft involved in [AccidentNumber_ATL02LA148],Tricycle
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_DFW05CA144],___Unknown___InstructorRating
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_ATL02TA030],Hughes
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_ATL05FA032],Multi-engineLand;Single-engineLand
What is the engine type of the registered aircraft involved in [AccidentNumber_NYC02LA001],1Reciprocating
What is the operator of the registered aircraft involved in [AccidentNumber_CHI01LA081],Paul N. Blumberg
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_ANC01LA053],Normal
When was the last inspection of the registered aircraft involved in [AccidentNumber_LAX03LA081],Annual
