question,answer
What is the third event associated with [AccidentNumber_CHI92LA036A]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What environmental issue caused [AccidentNumber_SEA02LA117]?,___Unknown___EnvironmentalIssue
What is the runway surface type associated with [AccidentNumber_FTW01LA135]?,Concrete
What is the runway surface condition associated with [AccidentNumber_IAD05LA029]?,Dry
What is the instrument flight rules approach associated with [AccidentNumber_SEA02LA046]?,Visual
What is the landing gear associated with [Registration_N3264Z]?,Tricycle
What is the aircraft issue that caused [AccidentNumber_LAX05FA255]?,___Unknown___AircraftIssue
What is the runway surface type associated with [AccidentNumber_IAD05LA029]?,Asphalt
What aircraft category does [Registration_N333EG] belong to?,Airplane
What does [Registration_N957T] have in terms of an emergency locator transmitter?,"Installed, activated, did not aid in locating accident"
What is the restraint used associated with [Pilot_DFW05CA144]?,"Seatbelt, Shoulder harness"
What is the restraint used associated with [Pilot_ATL05FA048]?,"Seatbelt, Shoulder harness"
What is the seat occupancy associated with [Pilot_DEN05TA033]?,Front
What is the third event associated with [AccidentNumber_DEN08CA001]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What is the lowest cloud condition associated with [AccidentNumber_ANC02LA126]?,___Unknown___LowestCloudCondition
What engine is associated with [Registration_N835K]?,2Reciprocating
What caused [AccidentNumber_SEA04LA064]?,PROPERTOUCHDOWNPOINT|TERRAINCONDITION
What caused [AccidentNumber_DEN84LA206]?,CLEARANCE|TERRAINCONDITION
What are the conditions at the accident site associated with [AccidentNumber_CHI03LA001]?,Visual Conditions
What medical certification does [Pilot_CHI03LA145] have?,Class 3 Valid Medical--no waivers/lim.
What is the aircraft issue that caused [AccidentNumber_NYC02LA004]?,___Unknown___AircraftIssue
What is the first event associated with [AccidentNumber_MIA85LA110]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What does [Registration_N737WQ] have in terms of an emergency locator transmitter?,"Installed, activated, did not aid in locating accident"
What is the Flight Crew associated with [AccidentNumber_DEN85LA089]?,PILOT_IN_COMMAND
What is the first event associated with [AccidentNumber_MIA89LA001]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What is the Flight Crew associated with [AccidentNumber_ATL03LA039]?,PILOT_IN_COMMAND
What caused [AccidentNumber_LAX04CA175]?,AIRSPEED|WEATHERCONDITION
What is the Flight Crew associated with [AccidentNumber_SEA83LA003]?,PILOT_IN_COMMAND
What is the Flight Crew associated with [AccidentNumber_CHI01LA060]?,PILOT_IN_COMMAND
What is the aircraft damage associated with [AccidentNumber_ANC01LA066]?,Substantial
What aircraft category does [Registration_N7878N] belong to?,Airplane
What caused [AccidentNumber_NYC98LA001]?,ENGINEASSEMBLYCRANKSHAFT|ENGINEASSEMBLYBEARING|TERRAINCONDITION
What is the restraint used associated with [Pilot_DEN04FA027A]?,"Seatbelt, Shoulder harness"
What is the third event associated with [AccidentNumber_MKC85LA205]?,NOSE_OVER
What is the Flight Crew associated with [AccidentNumber_ATL91LA037]?,DUAL_STUDENT
What is the engine manufacturer associated with [Registration_N364SR]?,Lycoming
What is the airplane rating associated with [Pilot_CHI01LA195]?,Single-engineLand
What is the seat occupancy associated with [Pilot_ANC03LA029]?,Left
What is the aircraft manufacturer associated with [Registration_N6981B]?,Piper
What caused [AccidentNumber_MIA83LA151]?,FUELSUPPLY|AIRCRAFTPREFLIGHT
What is the condition of light associated with [AccidentNumber_DFW05CA079]?,Day
What are the conditions at the accident site associated with [AccidentNumber_ANC04LA050]?,Visual Conditions
What caused [AccidentNumber_FTW83FA409]?,FLUIDFUEL|FUELTANKSELECTORPOSITION|AIRCRAFTPREFLIGHT
What was the result of the last inspection for [Registration_N8356X]?,Annual
What passanger injury is associated with [AccidentNumber_FTW04LA090]?,1 None
What is the first event associated with [AccidentNumber_MIA06LA058]?,LOSS_OF_ENGINE_POWER
What is the Visual Flight Rules approach associated with [AccidentNumber_FTW02FA028]?,___Unknown___VisualFlightRulesApproach
What certificate does [Pilot_CHI01LA078] have?,Private
What does [Registration_N65021] have in terms of an emergency locator transmitter?,"Installed, not activated"
What is the first event associated with [AccidentNumber_ANC87LA087]?,LOSS_OF_CONTROL_-_IN_FLIGHT
What is the restraint used associated with [Pilot_ANC01LA053]?,"Seatbelt, Shoulder harness"
What is the landing gear associated with [Registration_N4386W]?,Tricycle
What is the third event associated with [AccidentNumber_DEN85FA055]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What caused [AccidentNumber_ANC03LA010]?,BRAKESNORMAL
What caused [AccidentNumber_SEA90LA090]?,VISUALLOOKOUT|OBJECT|PLANNEDAPPROACH|CLEARANCE
What is the first event associated with [AccidentNumber_MIA87FA019]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What is the aircraft manufacturer associated with [Registration_N30CM]?,Cessna
What is the Federal Aviation Regulation associated with [AccidentNumber_FTW04FA029]?,Part135AirTaxi&Commuter-Non-scheduled
What is the third event associated with [AccidentNumber_DEN91FA065]?,FORCED_LANDING
What are the conditions at the accident site associated with [AccidentNumber_SEA04CA151]?,Visual Conditions
What caused [AccidentNumber_MKC84FA156]?,ENGINEASSEMBLYCONNECTINGROD|TERRAINCONDITION
What are the conditions at the accident site associated with [AccidentNumber_CHI01LA306]?,Visual Conditions
What is the aircraft issue that caused [AccidentNumber_SEA04LA064]?,___Unknown___AircraftIssue
What is the third event associated with [AccidentNumber_CHI94FA002]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What is the aircraft damage associated with [AccidentNumber_CHI02LA024]?,Destroyed
What is the second event associated with [AccidentNumber_DFW05CA177]?,FORCED_LANDING
What is the first event associated with [AccidentNumber_FTW95FA129]?,IN_FLIGHT_ENCOUNTER_WITH_WEATHER_-_ICING_CONDITIONS
What is the third event associated with [AccidentNumber_LAX06FA283]?,"IN_FLIGHT_COLLISION_WITH_OBJECT_-_WIRE,TRANSMISSION"
What is the first event associated with [AccidentNumber_LAX85LA378]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_MECH_FAILURE/MALF
What is the airplane rating associated with [Pilot_LAX02LA035]?,Multi-engineLand;Single-engineLand
What caused [AccidentNumber_CHI06CA103]?,DIRECTIONALCONTROL|WEATHERCONDITION|TERRAINCONDITION|AIRPORTFACILITIESRUNWAY/LANDINGAREACONDITION|COMPENSATIONFORWINDCONDITIONS
What is the aircraft manufacturer associated with [Registration_N4952J]?,Piper
What is the total injury associated with [AccidentNumber_FTW04LA105]?,2 None
What is the condition of light associated with [AccidentNumber_NYC05FA026]?,Day
What is the Federal Aviation Regulation associated with [AccidentNumber_ANC03LA048]?,Part91GeneralAviation-Personal
What is the second event associated with [AccidentNumber_SEA01LA124]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER
What are the conditions at the accident site associated with [AccidentNumber_MIA05FA020]?,Visual Conditions
What airspace is associated with [AccidentNumber_LAX02LA121]?,ClassE
What are the conditions at the accident site associated with [AccidentNumber_CHI01LA057]?,Visual Conditions
What is the aircraft damage associated with [AccidentNumber_CHI02LA018]?,Substantial
What flight plan was filed for [AccidentNumber_FTW01LA074]?,VFR
What medical certification does [Pilot_ATL03LA101] have?,Class 3 Valid Medical--w/ waivers/lim.
What is the seat occupancy associated with [Pilot_ANC02LA012]?,Left
What environmental issue caused [AccidentNumber_CHI01LA078]?,___Unknown___EnvironmentalIssue
What certificate does [Pilot_LAX05CA059] have?,Private
What are the conditions at the accident site associated with [AccidentNumber_LAX05LA025]?,Visual Conditions
What is the first event associated with [AccidentNumber_CHI00FA234]?,LOSS_OF_CONTROL_-_IN_FLIGHT
What is the first event associated with [AccidentNumber_MIA03LA090]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_MECH_FAILURE/MALF
What is the first event associated with [AccidentNumber_IAD05LA051]?,IN_FLIGHT_ENCOUNTER_WITH_WEATHER_-_ICING_CONDITIONS
What airworthiness certificate does [Registration_N515KH] have?,Experimental
What instructor rating does [Pilot_ANC01LA063] have?,Airplane Single-engine
What are the conditions at the accident site associated with [AccidentNumber_LAX04LA112]?,Visual Conditions
What is the second event associated with [AccidentNumber_DEN87LA140]?,FORCED_LANDING
What is the third event associated with [AccidentNumber_FTW98FA167]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What caused [AccidentNumber_ANC98LA105]?,WEATHERCONDITION|TERRAINCONDITION|VFRFLIGHTINTOIMC
What is the Flight Crew associated with [AccidentNumber_SEA06CA174]?,PILOT_IN_COMMAND
What certificate does [Pilot_ATL03LA029] have?,Commercial
What engine is associated with [Registration_N3251Z]?,1Reciprocating
What is the first event associated with [AccidentNumber_ATL03LA029]?,LOSS_OF_ENGINE_POWER
What was the result of the last inspection for [Registration_N997SA]?,Annual
What was the result of the last inspection for [Registration_N5284C]?,Annual
What is the first event associated with [AccidentNumber_ANC82DA082]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What is the engine manufacturer associated with [Registration_N78321]?,Continental
What is the Federal Aviation Regulation associated with [AccidentNumber_ATL02FA162]?,Part91GeneralAviation-Personal
What is the aircraft damage associated with [AccidentNumber_NYC02LA003]?,Substantial
What does [Registration_N2695S] have in terms of an emergency locator transmitter?,"Installed, not activated"
What is the landing gear associated with [Registration_N248JT]?,Tricycle
What is the runway surface condition associated with [AccidentNumber_CHI05LA064]?,Dry
What is the instrument flight rules approach associated with [AccidentNumber_FTW02FA028]?,___Unknown___InstrumentFlightRulesApproach
What does [Registration_N8356F] have in terms of an emergency locator transmitter?,___Unknown___ELT
What is the crew injury associated with [AccidentNumber_ATL03FA115]?,1 Fatal
What are the conditions at the accident site associated with [AccidentNumber_LAX01LA083]?,Visual Conditions
What is the aircraft issue that caused [AccidentNumber_DEN03LA061]?,___Unknown___AircraftIssue
What is the Flight Crew associated with [AccidentNumber_LAX85LA336]?,PILOT_IN_COMMAND
What is the first event associated with [AccidentNumber_NYC91LA045]?,LOSS_OF_ENGINE_POWER
What is the seat occupancy associated with [Pilot_ANC02LA067]?,Front
What is the Federal Aviation Regulation associated with [AccidentNumber_NYC02LA101]?,Part91GeneralAviation-Personal
What is the Flight Crew associated with [AccidentNumber_FTW98LA137]?,PILOT_IN_COMMAND
What is the airport associated with [AccidentNumber_FTW04LA199]?,___Unknown___Airport
What is the engine manufacturer associated with [Registration_N317LC]?,Allison
What is the second event associated with [AccidentNumber_ATL84LA007]?,FORCED_LANDING
What is the Flight Crew associated with [AccidentNumber_CHI06LA147]?,PILOT_IN_COMMAND
What airworthiness certificate does [Registration_N911KH] have?,Normal
What airspace is associated with [AccidentNumber_IAD05LA029]?,ClassD
What caused [AccidentNumber_NYC98LA178]?,DIRECTIONALCONTROL|ABORTEDTAKEOFF|OBJECT
What certificate does [Pilot_NYC05FA026] have?,AirlineTransport
What is the first event associated with [AccidentNumber_LAX04CA309]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_TREE(S)
What is the aircraft issue that caused [AccidentNumber_CHI03LA145]?,___Unknown___AircraftIssue
What aircraft category does [Registration_N8240P] belong to?,Airplane
What airspace is associated with [AccidentNumber_ANC01LA131]?,ClassG
What are the conditions at the accident site associated with [AccidentNumber_MIA03LA176]?,Visual Conditions
What is the Federal Aviation Regulation associated with [AccidentNumber_FTW02FA087]?,Part91GeneralAviation-Personal
In which country did [AccidentNumber_NYC05CA068] occur?,NJ
What is the Federal Aviation Regulation associated with [AccidentNumber_MIA01LA054]?,Part91GeneralAviation-Personal
What is the airport associated with [AccidentNumber_ANC05CA115]?,___Unknown___Airport
What caused [AccidentNumber_MKC87FA130]?,DIRECTIONALCONTROL|LACKOFTOTALEXPERIENCEINTYPEOFAIRCRAFT
What is the seat occupancy associated with [Pilot_ATL04LA114]?,Left
What is the crew injury associated with [AccidentNumber_ANC02LA089]?,1 None
What is the third event associated with [AccidentNumber_ATL05LA001]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What is the condition of light associated with [AccidentNumber_NYC02LA001]?,Day
What is the total injury associated with [AccidentNumber_FTW02LA194]?,1 None
What is the Federal Aviation Regulation associated with [AccidentNumber_MIA03LA021]?,Part91GeneralAviation-Personal
What does [Registration_N3525Y] have in terms of an emergency locator transmitter?,"Installed, not activated"
What is the engine manufacturer associated with [Registration_N54550]?,Continental
What is the condition of light associated with [AccidentNumber_CHI01LA078]?,Day
What is the first event associated with [AccidentNumber_CHI85LA083]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER
What passanger injury is associated with [AccidentNumber_IAD01FA089]?,1 Fatal
What is the Federal Aviation Regulation associated with [AccidentNumber_NYC04LA042]?,Part121AirCarrier-Scheduled
What environmental issue caused [AccidentNumber_CHI02LA226]?,___Unknown___EnvironmentalIssue
What is the third event associated with [AccidentNumber_FTW99LA178]?,UNDERSHOOT
What is the crew injury associated with [AccidentNumber_NYC02LA024]?,1 None
What is the Flight Crew associated with [AccidentNumber_LAX06CA135]?,PILOT_IN_COMMAND
What is the second event associated with [AccidentNumber_NYC91LA056]?,FORCED_LANDING
What is the seat occupancy associated with [Pilot_NYC04CA020]?,Front
What is the crew injury associated with [AccidentNumber_ATL03LA050]?,1 Minor
What is the engine manufacturer associated with [Registration_N88TN]?,Continental
What does [Registration_N20840] have in terms of an emergency locator transmitter?,"Installed, activated, did not aid in locating accident"
What is the condition of light associated with [AccidentNumber_CHI01LA061]?,Day
What airspace is associated with [AccidentNumber_CHI01LA194]?,ClassG
What caused [AccidentNumber_MKC85LA203]?,OBJECT|CARBURETORHEAT|TERRAINCONDITION|WEATHERCONDITION
What medical certification does [Pilot_LAX04LA254] have?,Class 2 Valid Medical--no waivers/lim.
What is the crew injury associated with [AccidentNumber_CHI03LA063]?,2 None
What is the crew injury associated with [AccidentNumber_CHI04FA133]?,1 Fatal
What is the restraint used associated with [Pilot_DFW05CA177]?,"Seatbelt, Shoulder harness"
What is the first event associated with [AccidentNumber_BFO90LA041]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What caused [AccidentNumber_CHI06LA147]?,EMERGENCYPROCEDURE
What is the first event associated with [AccidentNumber_ATL88LA112]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER
What are the conditions at the accident site associated with [AccidentNumber_ATL04LA074]?,Visual Conditions
What caused [AccidentNumber_CHI86FA192]?,PREFLIGHTPLANNING/PREPARATION|FLUIDFUEL
What is the first event associated with [AccidentNumber_FTW92LA065]?,LOSS_OF_ENGINE_POWER
What is the airport associated with [AccidentNumber_CHI05CA039]?,___Unknown___Airport
What is the Aircraft Explosion associated with [AccidentNumber_LAX04CA175]?,___Unknown___AircraftExplosion
What is the Federal Aviation Regulation associated with [AccidentNumber_ATL05CA095]?,Part91GeneralAviation-Personal
What is the restraint used associated with [Pilot_DEN05CA001]?,"Seatbelt, Shoulder harness"
What is the second event associated with [AccidentNumber_ANC85LA187]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What was the result of the last inspection for [Registration_N2129Q]?,Annual
What is the fourth event associated with [AccidentNumber_ANC97LA139]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What is the first event associated with [AccidentNumber_FTW95LA275]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What is the airframe total time associated with [Registration_N3086R]?,___Unknown___AirframeTotalTime
In which country did [AccidentNumber_SEA02TA022] occur?,MT
What is the engine manufacturer associated with [Registration_N81310]?,Lycoming
What medical certification does [Pilot_LAX03LA044] have?,Class 1 Valid Medical--w/ waivers/lim.
What [instrument rating] does [Pilot_SEA05CA035] have?,Airplane
In which country did [AccidentNumber_MIA02FA037] occur?,AL
What is the Flight Crew associated with [AccidentNumber_IAD05LA029]?,PILOT_IN_COMMAND
What engine is associated with [Registration_N3248T]?,1Reciprocating
What certificate does [Pilot_LAX05CA153] have?,FlightInstructor;Commercial
What airspace is associated with [AccidentNumber_LAX01LA231]?,ClassG
What is the aircraft damage associated with [AccidentNumber_MIA05LA066]?,Substantial
What medical certification does [Pilot_IAD05LA009] have?,Class 1 Valid Medical--w/ waivers/lim.
What is the crew injury associated with [AccidentNumber_CHI04CA113]?,"1 Minor, 1 None"
What is the aircraft issue that caused [AccidentNumber_ANC01LA141]?,___Unknown___AircraftIssue
What is the Aircraft Explosion associated with [AccidentNumber_ATL05FA032]?,On-Ground
What are the conditions at the accident site associated with [AccidentNumber_CHI04CA219]?,Visual Conditions
What certificate does [Pilot_DEN03LA027] have?,FlightInstructor;Commercial
What engine is associated with [Registration_N27MR]?,2Reciprocating
What engine is associated with [Registration_N72582]?,1Reciprocating
What is the engine manufacturer associated with [Registration_N734]?,Lycoming
What is the aircraft issue that caused [AccidentNumber_MIA03LA139]?,___Unknown___AircraftIssue
What is the aircraft damage associated with [AccidentNumber_LAX03LA123]?,Substantial
In which country did [AccidentNumber_FTW01LA057] occur?,AR
What airworthiness certificate does [Registration_N3056Q] have?,Normal
What flight plan was filed for [AccidentNumber_CHI05LA050]?,IFR
What airspace is associated with [AccidentNumber_DEN01LA100]?,ClassB
What is the Flight Crew associated with [AccidentNumber_DEN88DTM01]?,PILOT_IN_COMMAND
What is the second event associated with [AccidentNumber_DEN01LA119]?,WHEELS_UP_LANDING
What was the result of the last inspection for [Registration_N956UA]?,Continuous Airworthiness
What was the result of the last inspection for [Registration_N68778]?,Annual
What caused [AccidentNumber_ANC03FA106]?,VFRFLIGHTINTOIMC|WEATHERCONDITION
What is the total injury associated with [AccidentNumber_DEN02LA049]?,"1 Minor, 1 None"
What is the first event associated with [AccidentNumber_FTW96LA068]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What is the total injury associated with [AccidentNumber_NYC02LA128]?,1 None
What is the restraint used associated with [Pilot_MIA01LA054]?,"Seatbelt, Shoulder harness"
What is the instrument flight rules approach associated with [AccidentNumber_SEA04LA063A]?,___Unknown___InstrumentFlightRulesApproach
What is the second event associated with [AccidentNumber_ATL92FA111]?,FORCED_LANDING
What was the result of the last inspection for [Registration_N787KL]?,Continuous Airworthiness
What is the Visual Flight Rules approach associated with [AccidentNumber_CHI04CA113]?,TrafficPattern
What [instrument rating] does [Pilot_LAX03TA043] have?,Airplane; Helicopter
What certificate does [Pilot_IAD02LA039] have?,AirlineTransport
What is the first event associated with [AccidentNumber_LAX05FA255]?,IN_FLIGHT_ENCOUNTER_WITH_WEATHER_-_LOW_CEILING
What are the operating certificates held by [Registration_N9333]?,Flag carrier (121)
What is the aircraft issue that caused [AccidentNumber_LAX02LA121]?,___Unknown___AircraftIssue
What is the first event associated with [AccidentNumber_LAX87LA073]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_TREE(S)
What is the landing gear associated with [Registration_N9961G]?,Tailwheel
What airspace is associated with [AccidentNumber_LAX03FA147]?,ClassC
What is the third event associated with [AccidentNumber_ANC86FA007]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What is the crew injury associated with [AccidentNumber_FTW04FA172]?,1 Fatal
What does [Registration_N30913] have in terms of an emergency locator transmitter?,Not installed
What is the airframe total time associated with [Registration_N9062D]?,___Unknown___AirframeTotalTime
What is the airplane rating associated with [Pilot_FTW03LA001]?,Single-engineLand
